, sentimen,label,clean_teks
0,"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",0,warung milik usaha pabrik puluh kenal putih bandung kualitas padu ahli masak padu kretivitas warung saji menu utama bahan tambah menu ayam selera indonesia harga jangkau lewat bletoka nya kalah asli tegal
1,mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,1,mohon ulama lurus k mmbri hujjah partai diwlh suara islam pecahpecah
2,"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",0,lokasi strategis jalan sumatera bandung nya nyaman sofa lantai paella nya enak pas makan minum bir dingin appetiser nya enakenak
3,betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,0,betapa bahagia nya unboxing paket barang nya bagus tetap beli
4,"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",2,duh mahasiswa sombong kasih kartu kuning ajar usah ikutikut politik selesai kuliah nya politik telat dasar mahasiswa
5,"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",0,makan agam harga makan food stall kasir suasana ramai perhati parkir duduk
6,pakai kartu kredit bca tidak untung malah rugi besar,2,pakai kartu kredit bca untung rugi
7,"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",0,unik bagus foto makan enak pegawai ramah bersih luas wifi kencang harga standar sesuai nya menu masakan makan barat indonesia menu favorit lychee mojito spagheti
8,"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",0,keluarga nikmat alam kuliner senang rm sari sunda jalan setiabudhi bandung hubung rm sari sunda jalan setiabudhi tulis maaf rekanrekan baca bingung suka restoran layan restoran bilang cepat
9,bersyukur,0,syukur
10,"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",2,simcard indosat inaktiv garagara lupa isi pulsa kabar nya aktif pinda pasca bayar ribet banget
11,sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,2,sifat iri muncul orang orang tuju hidup
